district,text,date
District 2,"In District 2, the water has started to be frequent water outages and it's affecting daily use.",2025-03-20 14:08:35
District 2,"In District 2, the water has started to be frequent water outages and it's affecting daily use.",2025-04-18 23:39:35
District 2,"I live in District 2 and recently the tap water has been frequent water outages, it's really concerning.",2025-03-30 18:33:35
District 1,I'm reporting from District 1. The issue is that the water is slight chlorine smell—please look into it.,2025-03-31 02:17:35
District 2,"I'm from District 2, and I've noticed that the water has been brownish water from tap.",2025-04-14 14:50:35
District 1,"I live in District 1 and recently the tap water has been cloudy tap water, it's really concerning.",2025-03-28 06:43:35
District 3,"I'm from District 3, and I've noticed that the water has been fluctuating water pressure.",2025-04-11 18:08:35
District 1,"From District 1, I've been dealing with slight chlorine smell for the past few days.",2025-04-07 12:44:35
District 1,"I'm from District 1, and I've noticed that the water has been cloudy tap water.",2025-03-29 04:12:35
District 3,"I'm from District 3, and I've noticed that the water has been odd taste reported.",2025-04-13 14:26:35
District 2,"I'm from District 2, and I've noticed that the water has been unusual odor from faucet.",2025-04-04 10:00:35
District 3,"I'm from District 3, and I've noticed that the water has been odd taste reported.",2025-03-20 20:08:35
District 2,"I live in District 2 and recently the tap water has been unusual odor from faucet, it's really concerning.",2025-03-20 00:50:35
District 1,"In District 1, the water has started to be metallic taste in water and it's affecting daily use.",2025-03-19 11:26:35
District 2,"In District 2, the water has started to be frequent water outages and it's affecting daily use.",2025-04-10 00:36:35
District 1,"I live in District 1 and recently the tap water has been metallic taste in water, it's really concerning.",2025-03-23 16:02:35
District 2,"In District 2, the water has started to be unusual odor from faucet and it's affecting daily use.",2025-03-21 12:30:35
District 3,"From District 3, I've been dealing with sediment in water for the past few days.",2025-04-16 20:16:35
District 3,I'm reporting from District 3. The issue is that the water is discoloration in shower water—please look into it.,2025-03-25 02:05:35
District 1,"I'm from District 1, and I've noticed that the water has been cloudy tap water.",2025-03-22 00:41:35
District 3,"From District 3, I've been dealing with discoloration in shower water for the past few days.",2025-04-10 17:09:35
District 1,"I live in District 1 and recently the tap water has been low water pressure, it's really concerning.",2025-04-08 05:00:35
District 1,I'm reporting from District 1. The issue is that the water is metallic taste in water—please look into it.,2025-04-09 12:34:35
District 3,"From District 3, I've been dealing with sediment in water for the past few days.",2025-03-26 10:49:35
District 2,"In District 2, the water has started to be unusual odor from faucet and it's affecting daily use.",2025-04-12 14:24:35
